ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	explist	explist.Cycle	explist.Sample	filename[Block]	insprac1.ACC	insprac1.CRESP	insprac1.DurationError	insprac1.OnsetDelay	insprac1.OnsetTime	insprac1.OnsetToOnsetTime	insprac1.RESP	insprac1.RT	insprac1.RTTime	pracCat.ACC	pracCat.CRESP	pracCat.DurationError	pracCat.OnsetDelay	pracCat.OnsetTime	pracCat.OnsetToOnsetTime	pracCat.RESP	pracCat.RT	pracCat.RTTime	praclist	praclist.Cycle	praclist.Sample	pracRate.ACC	pracRate.CRESP	pracRate.DurationError	pracRate.OnsetDelay	pracRate.OnsetTime	pracRate.OnsetToOnsetTime	pracRate.RESP	pracRate.RT	pracRate.RTTime	Procedure[Block]	Running[Block]	speaker[Block]	syllable[Block]	token[Block]	tone[Block]	waitprac2.ACC	waitprac2.CRESP	waitprac2.DurationError	waitprac2.OnsetDelay	waitprac2.OnsetTime	waitprac2.OnsetToOnsetTime	waitprac2.RESP	waitprac2.RT	waitprac2.RTTime	Trial	block1alist	block1alist.Cycle	block1alist.Sample	block1blist	block1blist.Cycle	block1blist.Sample	block2alist	block2alist.Cycle	block2alist.Sample	block2blist	block2blist.Cycle	block2blist.Sample	block3list	block3list.Cycle	block3list.Sample	block4list	block4list.Cycle	block4list.Sample	block5list	block5list.Cycle	block5list.Sample	block6list	block6list.Cycle	block6list.Sample	block7list	block7list.Cycle	block7list.Sample	expcat.ACC	expcat.CRESP	expcat.DurationError	expcat.OnsetDelay	expcat.OnsetTime	expcat.OnsetToOnsetTime	expcat.RESP	expcat.RT	expcat.RTTime	exprate.ACC	exprate.CRESP	exprate.DurationError	exprate.OnsetDelay	exprate.OnsetTime	exprate.OnsetToOnsetTime	exprate.RESP	exprate.RT	exprate.RTTime	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	filename[Trial]	insex1.ACC	insex1.CRESP	insex1.DurationError	insex1.OnsetDelay	insex1.OnsetTime	insex1.OnsetToOnsetTime	insex1.RESP	insex1.RT	insex1.RTTime	Procedure[Trial]	Running[Trial]	speaker[Trial]	syllable[Trial]	token[Trial]	tone[Trial]
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	1				Thai_F1_maa315-2	1		0	-1	141960	2999		0	0	1		324	116	140461	1499		0	0	3	1	1	0	4	0	-1	144959	0	7	3735	148694	pracproc	praclist	F1	maa	2	315	1		0	12	148708	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	2				Thai_F1_mii241-1	1		0	-1	151307	3000		0	0	1		0	100	149808	1499		0	0	7	1	2	0	4	0	0	154307	0	7	1808	156115	pracproc	praclist	F1	mii	1	241	1		0	22	156139	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	3				Thai_F1_maa33-4	0		0	0	158722	0	f	1227	159949	1		1	83	157222	1500		0	0	4	1	3	0	4	0	6	159955	0	7	1419	161374	pracproc	praclist	F1	maa	4	33	1		0	14	161388	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	4				Thai_F1_mii45-1	1		0	-1	163987	2999		0	0	1		0	100	162488	1499		0	0	10	1	4	0	4	0	-1	166986	0	7	1706	168692	pracproc	praclist	F1	mii	1	45	1		0	24	168719	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	5				Thai_F1_mii315-2	0		0	0	171302	0	j	1897	173199	1		0	83	169802	1500		0	0	8	1	5	0	4	0	19	173218	0	7	1920	175138	pracproc	praclist	F1	mii	2	315	1		0	25	175167	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	6				Thai_F1_maa21-1	0		0	0	177750	0	f	1052	178802	1		0	83	176250	1500		0	0	1	1	6	0	4	0	13	178816	0	7	1284	180100	pracproc	praclist	F1	maa	1	21	1		0	14	180116	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	7				Thai_F1_maa241-1	1		0	-1	182698	3000		0	0	1		0	83	181199	1499		0	0	2	1	7	0	4	0	0	185698	0	7	1469	187167	pracproc	praclist	F1	maa	1	241	1		0	28	187197	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	8				Thai_F1_maa45-3	1		0	0	189780	2999		0	0	1		0	83	188280	1500		0	0	5	1	8	0	4	0	-1	192779	0	7	984	193763	pracproc	praclist	F1	maa	3	45	1		0	16	193779	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	9				Thai_F1_mii33-2	0		0	-1	196361	0	f	381	196742	1		0	83	194862	1499		0	0	9	1	9	0	4	0	19	196761	0	7	1639	198400	pracproc	praclist	F1	mii	2	33	1		0	23	198427	0		0	0																																																																							
Assim_main_chinese_500ms	401	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2742441</Frequency><Timestamp dt:dt="r8">71645429962</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-05-17T06:51:10Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Assim_main_chinese_500ms-401-1	60.017	1.0.0.76	1	-1368837126	Professional	2.0.10.353	2.0.10.353	05-17-2018	17-May-18 6:51:10 AM	16:51:10	2.0.10.248	10				Thai_F1_mii21-1	1		0	0	201010	2999		0	0	1		0	83	199510	1500		0	0	6	1	10	0	4	0	-1	204009	0	7	2889	206898	pracproc	praclist	F1	mii	1	21	1		0	26	206925	0		0	0																																																																							
